,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_AdjClose,BTC_Volume,ST_Open,ST_High,ST_Low,ST_Close,ST_AdjClose,ST_Volume,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),EU/US_Open,EU/US_High,EU/US_Low,EU/US_Close,EU/US_AdjClose,EU/US_Volume
53,2014-11-09,277.36590576171875,291.7176208496094,276.46563720703125,291.5441589355469,291.5441589355469,19426645,,,,,,,,,,,,,,,,,,
54,2014-11-10,290.7424011230469,301.78424072265625,286.6220397949219,295.3110656738281,295.3110656738281,24507123,2032.010009765625,2038.699951171875,2030.1700439453125,2038.260009765625,2038.260009765625,3284940000.0,1172.0,1162.0,737.246,732.199,938.2,934.685,1.2461835145950317,1.2508692741394043,1.2430498600006104,1.246137022972107,1.246137022972107,0.0
55,2014-11-11,294.4523010253906,298.9132080078125,292.626708984375,294.7927551269531,294.7927551269531,12698549,2038.199951171875,2041.280029296875,2035.280029296875,2039.6800537109375,2039.6800537109375,2958320000.0,1151.25,1156.5,726.432,728.963,927.904,930.935,1.242714524269104,1.2441989183425903,1.2396397590637207,1.242992639541626,1.242992639541626,0.0
56,2014-11-12,295.0252380371094,345.4046936035156,295.0962219238281,340.7844543457031,340.7844543457031,36835787,2037.75,2040.3299560546875,2031.949951171875,2038.25,2038.25,3246650000.0,1163.25,1164.5,731.834,736.513,934.412,934.666,1.2478007078170776,1.25,1.2431780099868774,1.2475829124450684,1.2475829124450684,0.0
57,2014-11-13,343.7710266113281,367.29046630859375,321.3096618652344,337.3436279296875,337.3436279296875,47261867,2039.2099609375,2046.1800537109375,2030.43994140625,2039.3299560546875,2039.3299560546875,3455270000.0,1161.0,1161.75,736.255,737.806,930.811,931.561,1.243193507194519,1.2490195035934448,1.243193507194519,1.242992639541626,1.242992639541626,0.0
58,2014-11-14,335.4850769042969,336.2085266113281,308.893798828125,317.7206115722656,317.7206115722656,23631659,2039.739990234375,2042.219970703125,2035.199951171875,2039.8199462890625,2039.8199462890625,3227130000.0,1154.0,1169.0,736.204,747.538,926.312,938.278,1.2475050687789917,1.2493003606796265,1.2399563789367676,1.2475982904434204,1.2475982904434204,0.0
59,2014-11-15,319.18377685546875,323.8782958984375,296.30859375,300.4017333984375,300.4017333984375,12560898,,,,,,,,,,,,,,,,,,
60,2014-11-16,299.2812194824219,312.1148681640625,299.1789855957031,309.78515625,309.78515625,9508506,,,,,,,,,,,,,,,,,,
61,2014-11-17,310.15814208984375,328.34307861328125,303.19012451171875,311.2210693359375,311.2210693359375,33353792,2038.2900390625,2043.0699462890625,2034.4599609375,2041.3199462890625,2041.3199462890625,3152890000.0,1187.0,1182.5,759.486,756.51,950.36,949.037,1.2521443367004395,1.2575926780700684,1.2448292970657349,1.251846432685852,1.251846432685852,0.0
62,2014-11-18,311.5239562988281,314.90411376953125,296.4193420410156,299.3919677734375,299.3919677734375,25712177,2041.47998046875,2056.080078125,2041.47998046875,2051.800048828125,2051.800048828125,3416190000.0,1202.0,1192.75,767.806,762.384,959.681,953.666,1.2451130151748657,1.2535696029663086,1.2451130151748657,1.2448959350585938,1.2448959350585938,0.0
63,2014-11-19,298.35302734375,308.6415710449219,298.47210693359375,303.52130126953125,303.52130126953125,15099537,2051.159912109375,2052.139892578125,2040.3699951171875,2048.719970703125,2048.719970703125,3390850000.0,1200.75,1196.0,766.078,763.729,957.612,953.596,1.2533998489379883,1.2570995092391968,1.251392126083374,1.253337025642395,1.253337025642395,0.0
64,2014-11-20,303.3235168457031,304.718017578125,284.3782958984375,285.3133544921875,285.3133544921875,20118960,2045.8699951171875,2053.840087890625,2040.489990234375,2052.75,2052.75,3128290000.0,1194.0,1190.0,762.647,757.383,953.598,949.493,1.2542959451675415,1.2575294971466064,1.2506800889968872,1.2540757656097412,1.2540757656097412,0.0
65,2014-11-21,285.3444519042969,285.25347900390625,274.36773681640625,283.21600341796875,283.21600341796875,24095980,2057.4599609375,2071.4599609375,2056.75,2063.5,2063.5,3916420000.0,1193.25,1203.75,761.536,768.482,958.588,968.579,1.2543588876724243,1.2567235231399536,1.2406902313232422,1.2545005083084106,1.2545005083084106,0.0
66,2014-11-22,283.8262939453125,294.5116271972656,283.240234375,284.88861083984375,284.88861083984375,12328867,,,,,,,,,,,,,,,,,,
67,2014-11-23,285.09442138671875,299.8665771484375,285.09442138671875,297.1247253417969,297.1247253417969,12247676,,,,,,,,,,,,,,,,,,
68,2014-11-24,296.6195068359375,311.2362365722656,295.7962341308594,303.1456604003906,303.1456604003906,24877423,2065.070068359375,2070.169921875,2065.070068359375,2069.409912109375,2069.409912109375,3128060000.0,1196.0,1197.5,764.51,763.322,964.672,963.705,1.237424612045288,1.2440301179885864,1.237424612045288,1.2375012636184692,1.2375012636184692,0.0
69,2014-11-25,303.1335754394531,317.38580322265625,300.4039611816406,300.7837219238281,300.7837219238281,20388012,2070.14990234375,2074.2099609375,2064.75,2067.030029296875,2067.030029296875,3392940000.0,1202.25,1199.0,767.035,763.208,966.594,961.353,1.2435954809188843,1.247889518737793,1.2406023740768433,1.2433171272277832,1.2433171272277832,0.0
70,2014-11-26,301.3214416503906,302.9582214355469,292.5592041015625,294.6017150878906,294.6017150878906,14876599,2067.360107421875,2073.2900390625,2066.6201171875,2072.830078125,2072.830078125,2745260000.0,1195.75,1197.5,760.22,758.295,960.673,957.081,1.2478941679000854,1.2524595260620117,1.2444404363632202,1.24806547164917,1.24806547164917,0.0
71,2014-11-27,296.3067932128906,299.0261535644531,295.5714416503906,296.709228515625,296.709228515625,7021454,,,,,,,1196.5,1194.75,758.96,758.186,959.195,956.489,1.2505470514297485,1.252097249031067,1.246618628501892,1.2505940198898315,1.2505940198898315,0.0
72,2014-11-28,296.47161865234375,307.376953125,287.89251708984375,302.26995849609375,302.26995849609375,18425004,2074.780029296875,2075.760009765625,2065.06005859375,2067.56005859375,2067.56005859375,2504640000.0,1184.5,1182.75,753.978,754.497,950.795,948.4,1.2458264827728271,1.248953938484192,1.2431100606918335,1.246199131011963,1.246199131011963,0.0
73,2014-11-29,302.0330810546875,311.22613525390625,298.8156433105469,301.5023193359375,301.5023193359375,12345913,,,,,,,,,,,,,,,,,,
74,2014-11-30,301.517578125,307.15191650390625,299.7502746582031,304.01849365234375,304.01849365234375,7394001,,,,,,,,,,,,,,,,,,
75,2014-12-01,304.1809387207031,308.23651123046875,302.73992919921875,304.1746826171875,304.1746826171875,9434552,2065.780029296875,2065.780029296875,2049.570068359375,2053.43994140625,2053.43994140625,4159010000.0,1178.75,1194.0,750.557,758.48,945.458,956.271,1.2437965869903564,1.250589370727539,1.2422822713851929,1.2438275814056396,1.2438275814056396,0.0
76,2014-12-02,304.1787109375,308.8363342285156,303.212158203125,307.8348388671875,307.8348388671875,9981513,2053.77001953125,2068.77001953125,2053.77001953125,2066.550048828125,2066.550048828125,3686650000.0,1197.0,1195.0,761.596,763.822,962.683,963.399,1.247007131576538,1.2478007078170776,1.2395721673965454,1.247007131576538,1.247007131576538,0.0
77,2014-12-03,308.16339111328125,309.291015625,303.3352355957031,304.5643005371094,304.5643005371094,10834159,2067.449951171875,2076.280029296875,2066.64990234375,2074.330078125,2074.330078125,3612680000.0,1203.25,1204.75,768.948,768.042,975.239,978.755,1.2388043403625488,1.2392956018447876,1.2302998304367065,1.2388503551483154,1.2388503551483154,0.0
78,2014-12-04,305.1392822265625,307.74951171875,296.86712646484375,298.4528503417969,298.4528503417969,11732558,2073.639892578125,2077.340087890625,2062.340087890625,2071.919921875,2071.919921875,3408340000.0,1204.0,1209.0,767.417,771.489,977.59,975.944,1.2312238216400146,1.2431780099868774,1.229770302772522,1.231663703918457,1.231663703918457,0.0
